"Plot Title: DUNGENESS MEADOWS						",,,,,,
#,Date Time," GMT-07:00""	""Temp", °C (LGR S/N: 10490314," SEN S/N: 10490314)""	Coupler Detached (LGR S/N: 10490314)	Coupler Attached (LGR S/N: 10490314)	Stopped (LGR S/N: 10490314)	End Of File (LGR S/N: 10490314)",,
578,7/10/2015 14:36,15.342,,,,
579,7/10/2015 15:36,15.414,,,,
580,7/10/2015 16:36,15.366,,,,
581,7/10/2015 17:36,15.294,,,,
582,7/10/2015 18:36,15.175,,,,
583,7/10/2015 19:36,15.031,,,,
584,7/10/2015 20:37,14.864,,,,
585,7/10/2015 21:37,14.697,,,,
586,7/10/2015 22:37,14.577,,,,
587,7/10/2015 23:37,14.457,,,,
588,7/11/2015 0:37,14.361,,,,
589,7/11/2015 1:37,14.266,,,,
590,7/11/2015 2:37,14.194,,,,
591,7/11/2015 3:37,14.098,,,,
592,7/11/2015 4:37,14.05,,,,
593,7/11/2015 5:37,14.002,,,,
594,7/11/2015 6:37,13.978,,,,
595,7/11/2015 7:37,14.002,,,,
596,7/11/2015 8:38,14.074,,,,
597,7/11/2015 9:38,14.17,,,,
598,7/11/2015 10:38,14.361,,,,
599,7/11/2015 11:38,14.888,,,,
600,7/11/2015 12:38,15.175,,,,
601,7/11/2015 13:38,15.031,,,,
602,7/11/2015 14:38,14.96,,,,
603,7/11/2015 15:38,14.912,,,,
604,7/11/2015 16:38,14.816,,,,
605,7/11/2015 17:38,14.745,,,,
606,7/11/2015 18:38,14.697,,,,
607,7/11/2015 19:38,14.577,,,,
608,7/11/2015 20:39,14.409,,,,
609,7/11/2015 21:39,14.242,,,,
610,7/11/2015 22:39,14.074,,,,
611,7/11/2015 23:39,13.93,,,,
612,7/12/2015 0:39,13.882,,,,
613,7/12/2015 1:39,13.834,,,,
614,7/12/2015 2:39,13.786,,,,
615,7/12/2015 3:39,13.714,,,,
616,7/12/2015 4:39,13.666,,,,
617,7/12/2015 5:39,13.594,,,,
618,7/12/2015 6:39,13.546,,,,
619,7/12/2015 7:39,13.594,,,,
620,7/12/2015 8:40,13.762,,,,
621,7/12/2015 9:40,14.122,,,,
622,7/12/2015 10:40,14.697,,,,
623,7/12/2015 11:40,15.27,,,,
624,7/12/2015 12:40,16.058,,,,
625,7/12/2015 13:40,16.129,,,,
626,7/12/2015 14:40,16.082,,,,
627,7/12/2015 15:40,15.819,,,,
628,7/12/2015 16:40,15.676,,,,
